FPR,TPR,Threshold
0.082,0.6431578947368422,0.6305055618286133
0.082,0.6447368421052632,0.6293735504150391
0.084,0.6447368421052632,0.6291883587837219
0.084,0.6521052631578947,0.6246351599693298
0.086,0.6521052631578947,0.623612105846405
0.086,0.66,0.6167789697647095
0.088,0.66,0.6164184808731079
0.088,0.6621052631578948,0.6150417923927307
0.09,0.6621052631578948,0.6146013736724854
0.09,0.6647368421052632,0.608441174030304
0.096,0.6647368421052632,0.6078638434410095
0.096,0.6652631578947369,0.6078005433082581
0.098,0.6652631578947369,0.6076829433441162
0.098,0.6657894736842105,0.6073377132415771
0.1,0.6657894736842105,0.6059797406196594
0.1,0.6678947368421052,0.6054174304008484
0.108,0.6678947368421052,0.6031559705734253
0.108,0.6810526315789474,0.5919675230979919
0.11,0.6810526315789474,0.5912631750106812
0.11,0.6857894736842105,0.5860040783882141
0.112,0.6857894736842105,0.5855910181999207
0.112,0.6889473684210526,0.5841127038002014
0.116,0.6889473684210526,0.5836710929870605
0.116,0.6936842105263158,0.5781832337379456
0.118,0.6936842105263158,0.5778822302818298
0.118,0.6968421052631579,0.574303388595581
0.12,0.6968421052631579,0.5739696025848389
0.12,0.6994736842105264,0.5701121687889099
0.122,0.6994736842105264,0.5701107978820801
0.122,0.708421052631579,0.5642077326774597
0.124,0.708421052631579,0.5637996792793274
0.124,0.7115789473684211,0.5625754594802856
0.126,0.7115789473684211,0.5619820952415466
0.126,0.7226315789473684,0.5517213940620422
0.128,0.7226315789473684,0.5511820912361145
0.128,0.7457894736842106,0.5254391431808472
0.13,0.7457894736842106,0.5247235298156738
0.13,0.7468421052631579,0.5239053964614868
0.132,0.7468421052631579,0.523849606513977
0.132,0.7478947368421053,0.5236722826957703
0.136,0.7478947368421053,0.5231742858886719
0.136,0.7494736842105263,0.5214948654174805
0.138,0.7494736842105263,0.5211809277534485
0.138,0.7510526315789474,0.5197511911392212
0.14,0.7510526315789474,0.5190927982330322
0.14,0.7521052631578947,0.5188133716583252
0.142,0.7521052631578947,0.518785834312439
0.142,0.7531578947368421,0.516861617565155
0.144,0.7531578947368421,0.5168123841285706
0.144,0.7542105263157894,0.5133724808692932
0.148,0.7542105263157894,0.510692834854126
0.148,0.7589473684210526,0.5034959316253662
0.15,0.7589473684210526,0.5028157234191895
0.15,0.7594736842105263,0.5021098256111145
0.152,0.7594736842105263,0.5019038915634155
0.152,0.7631578947368421,0.4955778121948242
0.154,0.7631578947368421,0.49318259954452515
0.154,0.7636842105263157,0.493161678314209
0.156,0.7636842105263157,0.4909270405769348
0.156,0.7652631578947369,0.489131897687912
0.158,0.7652631578947369,0.48803505301475525
0.158,0.7657894736842106,0.4875701367855072
0.16,0.7657894736842106,0.4867757260799408
0.16,0.7678947368421053,0.4829888343811035
0.162,0.7678947368421053,0.48229172825813293
0.162,0.7710526315789473,0.47679904103279114
0.164,0.7710526315789473,0.47561752796173096
0.164,0.7768421052631579,0.4666910767555237
0.166,0.7768421052631579,0.4666805565357208
0.166,0.7789473684210526,0.46476414799690247
0.168,0.7789473684210526,0.46452784538269043
0.168,0.7794736842105263,0.4643927812576294
0.17,0.7794736842105263,0.4636733829975128
0.17,0.7826315789473685,0.4617137908935547
0.172,0.7826315789473685,0.4615449011325836
0.172,0.7842105263157895,0.45949485898017883
0.174,0.7842105263157895,0.4594094455242157
0.174,0.7952631578947369,0.4436928629875183
0.176,0.7952631578947369,0.4429612159729004
0.176,0.7957894736842105,0.4425433874130249
0.178,0.7957894736842105,0.4420265257358551
0.178,0.7963157894736842,0.441362589597702
0.182,0.7963157894736842,0.4409133195877075
0.182,0.7973684210526316,0.4395451247692108
0.184,0.7973684210526316,0.4391818046569824
0.184,0.7984210526315789,0.43837422132492065
0.188,0.7984210526315789,0.43791675567626953
0.188,0.7989473684210526,0.4374822676181793
0.19,0.7989473684210526,0.4371829926967621
0.19,0.7994736842105263,0.43695199489593506
0.194,0.7994736842105263,0.4362824261188507
0.194,0.8,0.4358653128147125
0.198,0.8,0.43379679322242737
0.198,0.8021052631578948,0.43237680196762085
0.2,0.8021052631578948,0.43219253420829773
0.2,0.8094736842105263,0.42716795206069946
0.206,0.8094736842105263,0.42535164952278137
0.206,0.81,0.4250071346759796
0.208,0.81,0.42388415336608887
0.208,0.8115789473684211,0.4231041371822357
0.212,0.8115789473684211,0.42182469367980957
0.212,0.8121052631578948,0.4217194616794586
0.214,0.8121052631578948,0.4216434061527252
0.214,0.8131578947368421,0.42108333110809326
0.218,0.8131578947368421,0.41922059655189514
0.218,0.8152631578947368,0.4157785475254059
0.222,0.8152631578947368,0.41323450207710266
0.222,0.8205263157894737,0.4089236855506897
0.224,0.8205263157894737,0.4068676233291626
0.224,0.8215789473684211,0.4066430330276489
0.228,0.8215789473684211,0.40398162603378296
0.228,0.8236842105263158,0.40167123079299927
0.23,0.8236842105263158,0.39894893765449524
0.23,0.8242105263157895,0.3988512456417084
0.236,0.8242105263157895,0.3967796862125397
0.236,0.8252631578947368,0.3962935507297516
0.242,0.8252631578947368,0.3956950306892395
0.242,0.8257894736842105,0.39569011330604553
0.244,0.8257894736842105,0.39418670535087585
0.244,0.8263157894736842,0.3933110237121582
0.252,0.8263157894736842,0.3907385468482971
0.252,0.8268421052631579,0.3894447982311249
0.254,0.8268421052631579,0.3889133930206299
0.254,0.8352631578947368,0.3824860155582428
0.256,0.8352631578947368,0.3810013234615326
0.256,0.8363157894736842,0.38019174337387085
0.258,0.8363157894736842,0.3798657953739166
0.258,0.8389473684210527,0.3746800422668457
0.26,0.8389473684210527,0.3745637536048889
0.26,0.8405263157894737,0.37255409359931946
0.262,0.8405263157894737,0.3720026910305023
0.262,0.8415789473684211,0.37156057357788086
0.264,0.8415789473684211,0.3713337182998657
0.264,0.8436842105263158,0.37030911445617676
0.266,0.8436842105263158,0.37026309967041016
0.266,0.8473684210526315,0.3686430752277374
0.268,0.8473684210526315,0.3684733808040619
0.268,0.848421052631579,0.36696502566337585
0.27,0.848421052631579,0.366821825504303
0.27,0.8505263157894737,0.3637976348400116
0.272,0.8505263157894737,0.3628678619861603
0.272,0.8536842105263158,0.358733206987381
0.274,0.8536842105263158,0.3580981492996216
0.274,0.8542105263157894,0.358080118894577
0.276,0.8542105263157894,0.3567379117012024
0.276,0.8578947368421053,0.3535352647304535
0.278,0.8578947368421053,0.35343384742736816
0.278,0.858421052631579,0.3533371388912201
0.28,0.858421052631579,0.3526773750782013
0.28,0.8594736842105263,0.3519652187824249
0.282,0.8594736842105263,0.35130709409713745
0.282,0.8610526315789474,0.3503885865211487
0.288,0.8610526315789474,0.3496186137199402
0.288,0.8631578947368421,0.34630343317985535
0.29,0.8631578947368421,0.346137672662735
0.29,0.8721052631578947,0.3398889899253845
0.292,0.8721052631578947,0.33938464522361755
0.292,0.88,0.32471922039985657
0.294,0.88,0.3237110674381256
0.294,0.8805263157894737,0.32368460297584534
0.298,0.8805263157894737,0.3232443928718567
0.298,0.8810526315789474,0.3225817382335663
0.302,0.8810526315789474,0.32192179560661316
0.302,0.8826315789473684,0.32102760672569275
0.306,0.8826315789473684,0.32049980759620667
0.306,0.8842105263157894,0.31946390867233276
0.308,0.8842105263157894,0.31902846693992615
