Wall time,Step,Value
1656846524.2732544,14448,2.262086868286133
1656846551.0573173,14633,2.2697551250457764
1656846551.8079693,14639,2.485030174255371
1656846555.5564222,14669,2.066523313522339
1656846556.6809168,14678,1.9120732545852661
1656846557.9313016,14688,2.321221113204956
1656846569.4388132,14780,2.378509521484375
1656846570.564229,14789,2.15976619720459
1656846573.1905053,14810,2.1807003021240234
1656846584.9210129,14874,1.9810192584991455
1656846587.2906315,14893,2.4232699871063232
1656846612.0010986,15091,2.0358245372772217
1656846623.2367392,15181,2.0566864013671875
1656846637.6131568,15267,2.540348529815674
1656846644.854721,15325,1.9288350343704224
1656846663.4592009,15474,1.8913689851760864
1656846663.708833,15476,2.213237762451172
1656846667.7023163,15508,2.4630322456359863
1656846700.5843065,15741,2.2355055809020996
1656846703.5793624,15765,1.9489593505859375
1656846732.1728146,15994,2.3676693439483643
1656846748.5562637,16096,1.9357110261917114
1656846751.1791058,16117,2.0778145790100098
1656846767.7849844,16250,2.28073787689209
1656846776.7783098,16322,1.9669339656829834
1656846779.5277944,16344,2.2850069999694824
1656846787.4010668,16407,2.170137405395508
1656846803.4342816,16506,2.389082193374634
1656846827.4049044,16698,1.8808099031448364
1656846841.3937678,16810,2.1911048889160156
1656846851.0336142,16858,2.1094329357147217
1656846856.2751935,16900,2.499666690826416
1656846877.1316755,17067,1.866355538368225
1656846881.003746,17098,2.080169200897217
1656846902.3755267,17240,2.2581515312194824
1656846908.9918792,17293,2.103365182876587
1656846912.113487,17318,1.9932650327682495
1656846914.86236,17340,2.1650643348693848
1656846927.9682412,17445,2.581117868423462
1656846940.333569,17544,2.149911880493164
1656846942.0816355,17558,1.8713183403015137
1656846945.7022386,17587,1.9808874130249023
1656846946.6646059,17595,2.1267054080963135
1656846953.9612498,17624,2.105912446975708
1656846966.318264,17723,2.5001168251037598
1656846995.1664584,17954,2.0963385105133057
1656847006.9788935,18019,2.2591874599456787
1656847012.8441787,18066,2.024317979812622
1656847037.691028,18265,2.072751760482788
1656847044.4328864,18319,2.3817052841186523
1656847064.7212925,18452,2.2811381816864014
1656847082.3260682,18593,2.1620774269104004
1656847117.568881,18846,2.3134498596191406
1656847131.6775644,18959,1.8769493103027344
1656847151.4159052,19117,2.2025630474090576
1656847161.6999578,19170,2.0386948585510254
1656847174.4369693,19272,1.8915159702301025
1656847206.911875,19532,1.98552405834198
1656847224.2964327,19641,2.212043285369873
1656847226.0439007,19655,1.9352960586547852
1656847235.6571577,19732,2.1185104846954346
1656847250.016416,19847,2.067094087600708
1656847261.5053318,19939,2.180372714996338
1656847272.2621806,19996,2.082629442214966
1656847277.256308,20036,2.0705440044403076
1656847279.5029452,20054,2.249333143234253
1656847280.6264338,20063,1.9418760538101196
1656847290.1213868,20139,2.07706880569458
1656847303.3615441,20245,1.8548115491867065
1656847303.7369924,20248,2.325598955154419
1656847304.361482,20253,2.219031572341919
1656847313.2315497,20324,1.955976128578186
1656847331.5305562,20441,2.2692818641662598
1656847337.1492608,20486,1.9058760404586792
1656847343.8906753,20540,1.7260063886642456
1656847344.0157242,20541,2.050506591796875
1656847346.76335,20563,2.3587658405303955
1656847348.761752,20579,2.140763759613037
1656847377.5496936,20780,2.28385066986084
1656847377.9241922,20783,2.0725514888763428
1656847384.0416415,20832,1.953886866569519
1656847387.0364156,20856,2.3242647647857666
1656847415.1463997,21081,2.0702178478240967
1656847426.8019528,21145,2.0600762367248535
1656847434.9117122,21210,2.145090103149414
1656847437.7838066,21233,2.3091728687286377
1656847448.2742693,21317,2.4346437454223633
1656847448.647972,21320,2.0229005813598633
1656847449.2728422,21325,2.036829948425293
1656847457.6373944,21392,1.7011878490447998
1656847459.8882282,21410,2.3167660236358643
1656847477.7727506,21524,2.0915896892547607
1656847497.499371,21682,1.9692683219909668
1656847511.7434037,21796,2.0063107013702393
1656847514.9902208,21822,1.9192895889282227
1656847517.6151521,21843,2.2165768146514893
1656847518.3647218,21849,1.9349768161773682
1656847541.7469335,22007,1.8650569915771484
1656847571.5884988,22246,2.068631649017334
1656847581.1166275,22293,2.189873218536377
1656847585.8568084,22331,1.9935353994369507
1656847589.3514328,22359,2.1624131202697754
1656847603.5816903,22473,1.7675471305847168
1656847612.572774,22545,2.0447826385498047
1656847643.8360436,22766,2.178276777267456
1656847653.2045739,22841,1.9431623220443726
1656847664.4442072,22931,2.2167983055114746
1656847694.0985358,23139,1.336977243423462
1656847695.3465264,23149,1.4491333961486816
1656847699.5882328,23183,1.515330195426941
1656847700.8360872,23193,1.3305915594100952
1656847704.081779,23219,1.4336740970611572
1656847709.6981559,23264,1.4946348667144775
1656847712.5702305,23287,1.2660731077194214
1656847721.9364667,23362,1.1937044858932495
1656847730.1775236,23428,1.6841961145401
1656847748.0607808,23541,1.1609008312225342
1656847764.287049,23671,1.207261323928833
1656847765.6601436,23682,1.2626172304153442
1656847768.1959822,23702,1.2151929140090942
1656847801.759432,23939,1.0451723337173462
1656847819.552851,24080,1.245590090751648
1656847824.4725099,24119,1.342576026916504
1656847828.1503546,24148,1.1411278247833252
1656847839.1406713,24235,0.9943329691886902
1656847848.85198,24283,1.2934762239456177
1656847849.1037807,24285,1.258780837059021
1656847853.8900976,24323,1.0652779340744019
1656847856.7875588,24346,1.0056389570236206
