task,dimension,eps,percent,LOSS,AUC-best,Accuracy-best,Sensitivity-best,Specifity-best
acl,axial,0.005,0.1,0.1478,0.9551,0.9,0.9074,0.8939
meniscus,coronal,0.005,0.1,0.2602,0.8365,0.775,0.8269,0.7353
abnormal,sagittal,0.005,0.1,0.1031,0.9528,0.7667,0.7158,0.96
meniscus,sagittal,0.005,0.1,0.2958,0.7568,0.6083,0.9808,0.3235
abnormal,coronal,0.005,0.1,0.1464,0.8846,0.7333,0.6947,0.88
meniscus,axial,0.005,0.1,0.2518,0.8272,0.7583,0.8462,0.6912
abnormal,axial,0.005,0.1,0.1167,0.9415,0.8167,0.7789,0.96
acl,coronal,0.03,0.1,0.2884,0.849,0.7833,0.7407,0.8182
acl,sagittal,0.03,0.1,0.2444,0.9237,0.825,0.7407,0.8939
acl,axial,0.03,0.1,0.1922,0.9484,0.8583,0.8889,0.8333
meniscus,coronal,0.03,0.1,0.2959,0.8182,0.725,0.8269,0.6471
abnormal,sagittal,0.03,0.1,0.1385,0.9352,0.6083,0.5158,0.96
meniscus,sagittal,0.03,0.1,0.313,0.7195,0.6083,0.9038,0.3824
abnormal,coronal,0.03,0.1,0.1541,0.8817,0.75,0.7053,0.92
meniscus,axial,0.03,0.1,0.3026,0.7435,0.6083,0.7692,0.4853
abnormal,axial,0.03,0.1,0.1423,0.9204,0.8667,0.8947,0.76
acl,coronal,0.00005,0.1,0.1849,0.9262,0.8417,0.8519,0.8333
acl,sagittal,0.00005,0.1,0.1787,0.936,0.85,0.7778,0.9091
acl,axial,0.00005,0.1,0.148,0.9526,0.8583,0.7778,0.9242
meniscus,coronal,0.00005,0.1,0.255,0.8411,0.7583,0.75,0.7647
abnormal,sagittal,0.00005,0.1,0.0977,0.9562,0.8,0.7579,0.96
meniscus,sagittal,0.00005,0.1,0.2798,0.7822,0.6167,0.9423,0.3676
abnormal,coronal,0.00005,0.1,0.1477,0.8838,0.7333,0.6947,0.88
meniscus,axial,0.00005,0.1,0.2461,0.8377,0.7667,0.75,0.7794
abnormal,axial,0.00005,0.1,0.1177,0.9432,0.8083,0.7684,0.96
